pid,time,operation,operation_label,path,idfile,rs,size
8703,1525430073780920,read,2, \1\0\0\0\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377\377,821,32.0,32
8703,1525430073781000,read,2, \\\0\0\0,821,4.0,4
8703,1525430073781060,read,2, \n\0\0\0,821,4.0,4
8703,1525430073781120,read,2, --version\0,7,10.0,10
8703,1525430073781200,read,2, \6\0\0\0,7,4.0,4
8703,1525430073781260,read,2, 3.2.1\0,7,6.0,6
8703,1525430073781320,read,2, \24\0\0\0,7,4.0,4
8703,1525430073781380,read,2, --iface-ip-env-name\0,7,20.0,20
8703,1525430073781450,read,2, !\0\0\0,7,4.0,4
8703,1525430073781510,read,2, MPIR_CVAR_CH3_INTERFACE_HOSTNAME...,7,33.0,33
8703,1525430073781570,read,2, \v\0\0\0,7,4.0,4
8703,1525430073781640,read,2, --hostname\0,7,11.0,11
8703,1525430073781700,read,2, \6\0\0\0,7,4.0,4
8703,1525430073781760,read,2, clus5\0,7,6.0,6
8703,1525430073781820,read,2, \22\0\0\0,7,4.0,4
8703,1525430073781880,read,2, --global-core-map\0,7,18.0,18
8703,1525430073781960,read,2, \6\0\0\0,7,4.0,4
8703,1525430073782020,read,2," 0,1,1\0",7,6.0,6
8703,1525430073782080,read,2, \r\0\0\0,7,4.0,4
8703,1525430073782140,read,2, --pmi-id-map\0,7,13.0,13
8703,1525430073782210,read,2, \4\0\0\0,7,4.0,4
8703,1525430073782270,read,2," 0,0\0",7,4.0,4
8703,1525430073782340,read,2, \27\0\0\0,7,4.0,4
8703,1525430073782400,read,2, --global-process-count\0,7,23.0,23
8703,1525430073782460,read,2, \2\0\0\0,7,4.0,4
8703,1525430073782530,read,2, 4\0,7,2.0,2
8703,1525430073782590,read,2, \17\0\0\0,7,4.0,4
8703,1525430073782650,read,2, --auto-cleanup\0,7,15.0,15
8703,1525430073782710,read,2, \2\0\0\0,7,4.0,4
8703,1525430073782770,read,2, 1\0,7,2.0,2
8703,1525430073782840,read,2, \16\0\0\0,7,4.0,4
8703,1525430073782900,read,2, --pmi-kvsname\0,7,14.0,14
8703,1525430073782960,read,2, \f\0\0\0,7,4.0,4
8703,1525430073783020,read,2, kvs_40000_0\0,7,12.0,12
8703,1525430073783110,read,2, \26\0\0\0,7,4.0,4
8703,1525430073783170,read,2, --pmi-process-mapping\0,7,22.0,22
8703,1525430073783240,read,2, \21\0\0\0,7,4.0,4
8703,1525430073783310,read,2," (vector,(0,1,1))\0",7,17.0,17
8703,1525430073783370,read,2, \16\0\0\0,7,4.0,4
8703,1525430073783440,read,2, --ckpoint-num\0,7,14.0,14
8703,1525430073783500,read,2, \3\0\0\0,7,4.0,4
8703,1525430073783560,read,2, -1\0,7,3.0,3
8703,1525430073783630,read,2, \27\0\0\0,7,4.0,4
8703,1525430073783690,read,2, --global-inherited-env\0,7,23.0,23
8703,1525430073783750,read,2, \3\0\0\0,7,4.0,4
8703,1525430073783820,read,2, 51\0,7,3.0,3
